	Lead Result	Lead Result	Lead Result	Lead Result	Lead Result
	min	max	mean	count	count_above_5
BellMiddleSANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
BellaVistaElementaryEASTBAYMUD	5.0	5.0	5.0	5	0.0
BellaVistaHighFAIROAKSWATERDISTRICT	5.0	5.0	5.0	5	0.0
BellarmineCollegePreparatorySANJOSEWATERCOMPANY	0.11	5.0	1.134	5	0.0
BelleviewElementaryTUDUPPERBASINWATERSYSTEM	5.0	5.0	5.0	5	0.0
BenchleyWeinbergerElementarySANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
BenjaminFBeswickElementaryCITYOFTUSTIN	5.0	5.0	5.0	5	0.0
BenjaminFranklinIntermediateCALIFORNIAWATERSERVICESSANFRANCISCO	5.0	6.1	5.220000000000001	5	1.0
BergamoMontessoriSchoolCITYOFSACRAMENTOMAIN	5.0	5.0	5.0	5	0.0
BerkshireElementaryCWSBAKERSFIELD	5.0	5.0	5.0	5	0.0
BernardoElementaryRINCONDELDIABLOMWDID1	5.0	5.0	5.0	5	0.0
BessieEOwensIntermediateCWSBAKERSFIELD	5.0	5.0	5.0	4	0.0
BessieEOwensPrimaryCWSBAKERSFIELD	5.0	5.0	5.0	3	0.0
BethuneK8SANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
BigBearElementaryDWPBIGBEARLAKEMOONRIDGE	5.0	5.0	5.0	5	0.0
BigBearMiddleDWPBIGBEARLAKEMOONRIDGE	5.0	5.0	5.0	5	0.0
BigSpringsElementaryVENTURAWWDNO8SIMIVALLEY	5.0	5.0	5.0	4	0.0
BillLWilliamsElementaryBAKERSFIELDCITYOF	5.0	5.0	5.0	5	0.0
BirchGroveIntermediateALAMEDACOUNTYWATERDISTRICT	5.0	5.0	5.0	4	0.0
BirchGrovePrimaryALAMEDACOUNTYWATERDISTRICT	5.0	5.0	5.0	5	0.0
BirchLaneElementaryCITYOFDAVIS	5.0	5.0	5.0	5	0.0
BirdRockElementarySANDIEGOCITYOF	5.0	10.5	6.1	5	1.0
BirdStreetElementaryCALWATERSERVICECOOROVILLE	5.0	5.5	5.1	5	1.0
BirneyElementarySANDIEGOCITYOF	5.0	19.0	9.563333333333333	6	3.0
BishopElementaryCITYOFSUNNYVALE	5.0	5.0	5.0	5	0.0
BixbyElementaryROWLANDWATERDISTRICT	5.0	5.0	5.0	5	0.0
BlackfordElementarySANJOSEWATERCOMPANY	0.28	5.0	1.536	5	0.0
BlairHighPASADENACITYWATERDEPT	5.0	5.0	5.0	5	0.0
BlairMiddleSchoolPASADENACITYWATERDEPT	5.0	5.0	5.0	5	0.0
BlanchardElementarySANTAPAULAWATERSYSTEM	5.0	5.0	5.0	5	0.0
BloomingtonHighWESTVALLEYWATERDISTRICT	5.0	6.2	5.24	5	1.0
BlosserLaneElementaryWILLITSCITYOF	5.0	10.0	6.459999999999999	5	3.0
BlossomValleyElementaryPADREDAMMWD	5.0	5.0	5.0	5	0.0
BlueOaksElementaryCITYOFROSEVILLE	5.0	5.0	5.0	5	0.0
BobierElementaryVISTAIRRIGATIONDISTRICT	5.0	5.0	5.0	4	0.0
BohannonMiddleEASTBAYMUD	5.0	10.0	6.0	5	1.0
BolsaKnollsMiddleCWSCSALINAS	5.0	13.0	6.6	5	1.0
BonitaCanyonElementaryIRVINERANCHWATERDISTRICT	5.0	5.0	5.0	5	0.0
BonitaHighLAVERNECITYWD	5.0	5.0	5.0	1	0.0
BonitaVistaMiddleOTAYWATERDISTRICT	5.0	5.0	5.0	5	0.0
BooksinElementarySANJOSEWATERCOMPANY	5.0	5.0	5.0	5	0.0
BooneElementarySANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
BorondaElementaryCWSCSALINAS	5.0	5.0	5.0	5	0.0
BorondaMeadowsCWSCSALINAS	5.0	5.0	5.0	5	0.0
BostoniaLanguageAcademyHELIXWATERDISTRICT	5.0	5.0	5.0	5	0.0
BoulderOaksElementaryPADREDAMMWD	5.0	15.4	7.2700000000000005	5	2.0
BowlingGreenElementaryFRUITRIDGEVISTAWATERCOMPANY	5.0	5.0	5.0	5	0.0
BowmanElementaryCITYOFHAYWARD	5.0	30.2	12.142857142857142	7	2.0
BoyntonHighSANJOSEWATERCOMPANY	0.64	1.9	1.11	4	0.0
BradfordWoodbridgeFundamentalElementaryCITYOFROSEVILLE	5.0	5.0	5.0	5	0.0
BrandonElementaryGOLETAWATERDISRICT	5.0	5.0	5.0	5	0.0
BranhamHighSANJOSEWATERCOMPANY	0.14	6.4	2.5180000000000002	5	1.0
BreaCanyonHighContinuationCITYOFBREA	5.0	6.5	5.5	4	2.0
BreaCountryHillsElementaryCITYOFBREA	5.0	17.0	7.4	5	1.0
BreaJuniorHighCITYOFBREA	5.0	14.0	6.8	5	1.0
BreaOlindaHighCITYOFBREA	5.0	5.0	5.0	5	0.0
