	Lead Result	Lead Result	Lead Result	Lead Result	Lead Result
	min	max	mean	count	count_above_5
GoldenValleyOrchardORANGEVALEWATERCOMPANY	5.0	7.1	5.42	5	1.0
GoletaUnionSchoolDistrictcafeteriaGOLETAWATERDISRICT	5.0	5.0	5.0	1	0.0
GompersPreparatoryAcademySANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
GraceMillerElementaryLAVERNECITYWD	5.0	5.0	5.0	6	0.0
GraceSThilleElementarySANTAPAULAWATERSYSTEM	5.0	5.0	5.0	5	0.0
GraceSmithElementaryGSWCCALIPATRIA	5.0	5.0	5.0	5	0.0
GranadaElementaryCITYOFALHAMBRA	5.0	5.0	5.0	5	0.0
GranadaMiddleSUBURBANWATERSYSTEMSWHITTIER	5.0	5.0	5.0	5	0.0
GrandIslandElementaryCOLUSACOWWD1GRIMES	5.0	7.8	5.5600000000000005	5	1.0
GrandOaksElementaryCALAMLINCOLNOAKS	5.0	5.0	5.0	5	0.0
GrandTerraceElementaryRIVERSIDEHIGHLANDWATERCOMPANY	5.0	6.8	5.45	4	1.0
GrandTerraceHighSchoolattheRayAbrilJrEducationalComplexRIVERSIDEHIGHLANDWATERCOMPANY	5.0	5.0	5.0	5	0.0
GrangerJuniorHighSWEETWATERAUTHORITY	5.0	5.46	5.0920000000000005	5	1.0
GraniteBayHighSANJUANWATERDISTRICT	5.0	5.0	5.0	5	0.0
GraniteHillsHighAPPLEVALLEYRANCHOSWC	5.0	5.0	5.0	5	0.0
GraniteHillsHighHELIXWATERDISTRICT	5.0	5.0	5.0	5	0.0
GraniteOaksMiddlePLACERCWAFOOTHILL	5.0	5.0	5.0	5	0.0
GrantElementaryCENTERVILLECSD	5.0	10.0	6.0	5	1.0
GrantElementaryEASTBAYMUD	5.0	5.0	5.0	5	0.0
GrantElementaryHUMBOLDTCSD	1.0	5.0	4.2	5	0.0
GrantElementarySANJOSEWATERCOMPANY	5.0	5.0	5.0	5	0.0
GrantElementarySANTAMONICACITYWATERDIVISION	3.0	5.0	4.5	4	0.0
GrantK8SANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
GrantUnionHighCITYOFSACRAMENTOMAIN	5.0	5.0	5.0	5	0.0
GrapevineElementaryVISTAIRRIGATIONDISTRICT	5.0	49.0	14.714285714285714	7	4.0
GrassValleyElementaryEASTBAYMUD	5.0	5.0	5.0	5	0.0
GrattanElementarySFPUCCITYDISTRIBUTIONDIVISION	5.0	5.0	5.0	5	0.0
GraystoneElementarySANJOSEWATERCOMPANY	5.0	5.0	5.0	5	0.0
GreenElementarySANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
GreenOaksFundamentalElementaryORANGEVALEWATERCOMPANY	5.0	5.0	5.0	5	0.0
GreenfieldMiddleHELIXWATERDISTRICT	5.0	5.0	5.0	5	0.0
GreenleafElementaryEASTBAYMUD	5.0	5.0	5.0	5	0.0
GreentreeElementaryIRVINERANCHWATERDISTRICT	5.0	5.0	5.0	5	0.0
GreenwoodAcademyEASTBAYMUD	5.0	5.0	5.0	5	0.0
GreerElementaryCALAMARDEN	5.0	5.0	5.0	5	0.0
GriffithsMiddleDOWNEYCITYWATERDEPT	5.0	5.0	5.0	3	0.0
GrossmontHighHELIXWATERDISTRICT	5.0	5.0	5.0	5	0.0
GuadalupeElementarySFPUCCITYDISTRIBUTIONDIVISION	5.0	5.0	5.0	5	0.0
GundersonHighSANJOSEWATERCOMPANY	5.0	5.0	5.0	5	0.0
HASnowElementaryALAMEDACOUNTYWATERDISTRICT	5.0	5.0	5.0	5	0.0
HWHarknessElementaryCITYOFSACRAMENTOMAIN	5.0	5.0	5.0	5	0.0
HaciendaScienceEnvironmentalMagnetSANJOSEWATERCOMPANY	5.0	15.0	6.728571428571429	7	2.0
HageElementarySANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
HagginwoodElementaryCITYOFSACRAMENTOMAIN	5.0	5.0	5.0	5	0.0
HalecrestElementarySWEETWATERAUTHORITY	5.0	5.0	5.0	5	0.0
HallDistrictElementaryCWSCLASLOMAS	5.0	5.0	5.0	5	0.0
HamiltonElementaryPASADENACITYWATERDEPT	5.0	5.0	5.0	5	0.0
HamiltonElementarySANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
HancockElementarySANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
HannaRanchElementaryEASTBAYMUD	5.0	5.0	5.0	5	0.0
HannaleiElementaryVISTAIRRIGATIONDISTRICT	5.0	5.0	5.0	4	0.0
HappyCampElementaryHAPPYCAMPCSD	5.0	5.5	5.1	5	1.0
HarborsideElementarySWEETWATERAUTHORITY	5.0	5.0	5.0	5	0.0
HardingElementaryCWSBAKERSFIELD	5.0	6.1	5.275	4	1.0
HardingElementaryELCENTROCITYOF	5.0	5.0	5.0	5	0.0
HardyElementarySANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
HarloeElementaryARROYOGRANDEWATERDEPARTMENT	5.0	9.7	5.9399999999999995	5	1.0
HarmonJohnsonElementaryCITYOFSACRAMENTOMAIN	5.0	5.0	5.0	4	0.0
HarrietTubmanVillageCharterSANDIEGOCITYOF	5.0	9.84	5.968	5	1.0
HarryDeweyFundamentalElementaryFAIROAKSWATERDISTRICT	5.0	5.0	5.0	5	0.0
HarteBretElementarySFPUCCITYDISTRIBUTIONDIVISION	5.0	5.0	5.0	5	0.0
HavensElementaryEASTBAYMUD	5.0	5.0	5.0	5	0.0
HawthorneElementarySANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
HazelMahoneCollegePrepCITYOFSACRAMENTOMAIN	5.0	5.0	5.0	4	0.0
HazelStrauchElementaryCITYOFSACRAMENTOMAIN	5.0	5.0	5.0	5	0.0
HeadRoyceSchoolEASTBAYMUD	5.0	5.0	5.0	5	0.0
HealdsburgJuniorHighHEALDSBURGCITYOF	5.0	5.0	5.0	3	0.0
HearstElementarySANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
HeartlandChristianHomeschoolCenterIncHELIXWATERDISTRICT	5.0	5.0	5.0	4	0.0
HeatherElementaryCALIFORNIAWATERSERVICESANCARLOS	5.0	5.0	5.0	3	0.0
HelenCarrCastelloElementarySCWALAGUNAVINEYARD	5.0	5.0	5.0	5	0.0
HelixHighHELIXWATERDISTRICT	5.0	5.0	5.0	5	0.0
HelmsMiddleEASTBAYMUD	5.0	5.0	5.0	5	0.0
HenryEisslerElementaryCWSBAKERSFIELD	5.0	5.0	5.0	4	0.0
HenryFKammannElementaryCWSCSALINAS	5.0	5.0	5.0	5	0.0
HenryHaightElementaryEASTBAYMUD	5.0	5.0	5.0	5	0.0
HenryHighSANDIEGOCITYOF	5.0	6.34	5.268	5	1.0
HerbertHooverMiddleSANJOSEWATERCOMPANY	5.0	5.0	5.0	5	0.0
HerculesHighEASTBAYMUD	5.0	5.0	5.0	5	0.0
HerculesMiddleEASTBAYMUD	5.0	5.0	5.0	5	0.0
HeritagePeakCharterRIOLINDAELVERTACOMMUNITYWATERDIST	5.0	5.5	5.125	4	1.0
HermanLeimbachElementaryCITYOFSACRAMENTOMAIN	5.0	5.0	5.0	5	0.0
HermosaElementaryCUCAMONGAVALLEYWATERDISTRICT	5.0	5.0	5.0	5	0.0
HesperianElementaryEASTBAYMUD	5.0	5.0	5.0	5	0.0
HewesMiddleCITYOFTUSTIN	5.0	5.6	5.15	4	1.0
HickmanElementarySANDIEGOCITYOF	5.0	5.02	5.004	5	1.0
HiddenValleyMiddleESCONDIDOCITYOF	5.0	5.0	5.0	5	0.0
HighDesertPremierAcademyAPPLEVALLEYRANCHOSWC	5.0	5.0	5.0	3	0.0
HighTechElementaryChulaVistaOTAYWATERDISTRICT	5.0	5.0	5.0	2	0.0
HighTechElementaryExplorerSANDIEGOCITYOF	5.0	5.0	5.0	3	0.0
HighTechElementaryNorthCountyVALLECITOSWD	5.0	5.0	5.0	2	0.0
HighTechElementarySANDIEGOCITYOF	5.0	5.0	5.0	3	0.0
HighTechHighChulaVistaOTAYWATERDISTRICT	5.0	5.0	5.0	2	0.0
HighTechHighInternationalSANDIEGOCITYOF	5.0	5.0	5.0	2	0.0
HighTechHighMediaArts2SANDIEGOCITYOF	5.0	5.0	5.0	1	0.0
HighTechHighNorthCountyVALLECITOSWD	5.0	5.0	5.0	2	0.0
HighTechHighSANDIEGOCITYOF	5.0	5.0	5.0	2	0.0
HighTechMiddleChulaVistaOTAYWATERDISTRICT	5.0	5.0	5.0	1	0.0
HighTechMiddleMediaArtsSANDIEGOCITYOF	5.0	5.0	5.0	3	0.0
HighTechMiddleNorthCountyVALLECITOSWD	5.0	5.0	5.0	1	0.0
HighTechMiddleSANDIEGOCITYOF	5.0	5.0	5.0	2	0.0
HighlandElementaryEASTBAYMUD	5.0	5.0	5.0	5	0.0
HighlandHighCWSBAKERSFIELD	5.0	5.0	5.0	5	0.0
HighlandsElementaryHELIXWATERDISTRICT	5.0	5.0	5.0	3	0.0
HighlandsHighSACRAMENTOSUBURBANWATERDISTRICT	5.0	8.3	5.66	5	1.0
HillCreekElementaryPADREDAMMWD	5.0	5.0	5.0	5	0.0
HillcrestElementaryEASTBAYMUD	5.0	5.0	5.0	5	0.0
HillcrestElementarySFPUCCITYDISTRIBUTIONDIVISION	5.0	6.05	5.21	5	1.0
HillsdaleElementarySACRAMENTOSUBURBANWATERDISTRICT	5.0	5.3	5.0600000000000005	5	1.0
HillsdaleMiddleOTAYWATERDISTRICT	5.0	5.0	5.0	5	0.0
HillsideElementaryEASTBAYMUD	5.0	5.0	5.0	5	0.0
HillsideMiddleVENTURAWWDNO8SIMIVALLEY	5.0	7.7	5.675	4	1.0
HilltopDriveElementarySWEETWATERAUTHORITY	5.0	5.0	5.0	5	0.0
HilltopMiddleSWEETWATERAUTHORITY	5.0	5.0	5.0	5	0.0
HilltopSeniorHighSWEETWATERAUTHORITY	5.0	5.0	5.0	5	0.0
HillviewHighContinuationCITYOFTUSTIN	5.0	5.0	5.0	5	0.0
HillviewMiddleSUBURBANWATERSYSTEMSWHITTIER	5.0	5.0	5.0	5	0.0
HiramWJohnsonHighCITYOFSACRAMENTOMAIN	5.0	5.0	5.0	5	0.0
HollingworthElementaryWALNUTVALLEYWATERDISTRICT	5.0	5.0	5.0	3	0.0
HollisterElementaryGOLETAWATERDISRICT	5.0	26.0	9.857142857142858	7	4.0
HollowHillsElementaryVENTURAWWDNO8SIMIVALLEY	5.0	5.0	5.0	3	0.0
HollyDriveLeadershipAcademySANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
HollywoodParkElementaryCITYOFSACRAMENTOMAIN	5.0	5.0	5.0	5	0.0
HolmesElementarySANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
HolyNamesHighSchoolEASTBAYMUD	5.0	5.0	5.0	5	0.0
HolyTrinityElementaryHELIXWATERDISTRICT	5.0	5.0	5.0	5	0.0
HooverElementaryEASTBAYMUD	5.0	5.0	5.0	5	0.0
HooverHerbertMiddleSFPUCCITYDISTRIBUTIONDIVISION	5.0	5.0	5.0	5	0.0
HooverHighSANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
HopeElementaryCARLSBADMWD	5.0	5.0	5.0	5	0.0
HoraceMannBURBANKCITYWATERDEPT	5.0	5.0	5.0	3	0.0
HoraceMannElementaryCWSBAKERSFIELD	5.0	5.0	5.0	4	0.0
HoraceMannElementaryEASTBAYMUD	5.0	5.0	5.0	5	0.0
HoraceMannElementarySANJOSEWATERCOMPANY	5.0	5.5	5.1	5	1.0
HortonElementarySANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
HowardElementaryEASTBAYMUD	5.0	6.3	5.325	4	1.0
HowardGardnerCommunityCharterSWEETWATERAUTHORITY	5.0	5.0	5.0	3	0.0
HowardJMcKibbenElementaryORCHARDDALEWATERDISTRICT	5.0	5.0	5.0	5	0.0
HowardPenceElementaryCALAMWATERCORONADO	5.0	5.0	5.0	5	0.0
HubertHBancroftElementaryCITYOFSACRAMENTOMAIN	5.0	5.0	5.0	5	0.0
HuronElementaryHURONCITYOF	1.0	1.0	1.0	5	0.0
HuronMiddleHURONCITYOF	1.0	1.0	1.0	3	0.0
IbarraElementarySANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
IftinCharterSANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
ImperialBeachCharterCALAMWATERCORONADO	5.0	12.0	6.4	5	1.0
ImperialBeachCharterSchoolWestCampusCALAMWATERCORONADO	5.0	26.0	13.514285714285714	7	4.0
ImperialElementaryDOWNEYCITYWATERDEPT	5.0	5.0	5.0	3	0.0
IndependenceHighAlternativeCITYOFROSEVILLE	5.0	5.0	5.0	2	0.0
IndependenceHighBAKERSFIELDCITYOF	5.0	5.0	5.0	5	0.0
IndependenceHighContinuationAWASUTTERCREEK	5.0	5.0	5.0	5	0.0
IndependenceHighSANJOSEWATERCOMPANY	0.11	12.0	2.758	5	1.0
IndianValleyElementaryEASTBAYMUD	5.0	5.0	5.0	5	0.0
IngenuityCharterSANDIEGOCITYOF	5.0	5.0	5.0	1	0.0
InlandLeadersCharterYUCAIPAVALLEYWATERDISTRICT	5.0	10.0	5.99	10	2.0
InnovationMiddleSANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
InnovationsAcademySANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
InternationalStudiesAcademySFPUCCITYDISTRIBUTIONDIVISION	5.0	860.0	188.61333333333334	6	3.0
IoneElementaryAWAIONE	5.0	5.0	5.0	5	0.0
IoneJuniorHighAWAIONE	5.0	5.0	5.0	5	0.0
IoneOlsonElementaryMARINACOASTWATERDISTRICT	2.5	4.0	3.0	3	0.0
IraHarbisonSWEETWATERAUTHORITY	5.0	20.0	8.833333333333334	6	4.0
IreneBWestElementaryCITYOFSACRAMENTOMAIN	5.0	5.0	5.0	5	0.0
IreneLarsenCenterCITYOFVACAVILLE	5.0	19.0	7.0	7	1.0
IrvineHighIRVINERANCHWATERDISTRICT	5.0	5.0	5.0	5	0.0
IsabelleJacksonElementaryCALAMPARKWAY	5.0	5.0	5.0	5	0.0
IsadorCohenElementaryCALAMSUBURBAN	5.0	5.3	5.0600000000000005	5	1.0
IsbellMiddleSANTAPAULAWATERSYSTEM	5.0	19.7	7.94	5	1.0
IslaVistaElementaryGOLETAWATERDISRICT	5.0	5.0	5.0	5	0.0
IslandHighContinuationEASTBAYMUD	5.0	7.6	5.5200000000000005	5	1.0
IveyRanchElementaryOCEANSIDECITYOF	5.0	5.0	5.0	5	0.0
JCCrumptonElementaryMARINACOASTWATERDISTRICT	2.5	2.5	2.5	3	0.0
JHMcGaughElementaryCITYOFSEALBEACH	5.0	5.0	5.0	5	0.0
JackLWeaverElementaryGOLDENSTATEWCWESTORANGE	5.0	5.0	5.0	5	0.0
JamachaElementaryOTAYWATERDISTRICT	5.0	5.0	5.0	5	0.0
JamesAGrahamElementaryALAMEDACOUNTYWATERDISTRICT	5.0	5.0	5.0	4	0.0
JamesAMcKeeElementaryELKGROVEWATERSERVICE	5.0	5.0	5.0	5	0.0
JamesLickHighSANJOSEWATERCOMPANY	0.13	5.0	1.23	5	0.0
JamesMarshallElementaryCALAMSUBURBAN	5.0	5.0	5.0	5	0.0
JamesRutterMiddleCALAMPARKWAY	5.0	5.0	5.0	5	0.0
JamisonDonaldCHighContinuationLEMOORECITYOF	5.0	5.0	5.0	1	0.0
JasperElementaryCUCAMONGAVALLEYWATERDISTRICT	5.0	6.9	5.566666666666666	6	2.0
JeffersonElementaryCARLSBADMWD	5.0	5.0	5.0	5	0.0
JeffersonElementaryCITYOFSACRAMENTOMAIN	5.0	5.0	5.0	3	0.0
JeffersonElementaryCWSBAKERSFIELD	5.0	5.0	5.0	3	0.0
JeffersonElementaryPASADENACITYWATERDEPT	5.0	22.0	7.833333333333333	6	1.0
JeffersonElementarySANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
JeffersonElementarySFPUCCITYDISTRIBUTIONDIVISION	5.0	5.0	5.0	5	0.0
JeffersonHighCITYOFDALYCITY	5.0	5.0	5.0	5	0.0
JeffersonHighContinuationMTSHASTACITYOF	5.0	5.0	5.0	4	0.0
JeffersonMiddleOCEANSIDECITYOF	5.0	5.0	5.0	5	0.0
JeffreyTrailMiddleIRVINERANCHWATERDISTRICT	5.0	5.0	5.0	5	0.0
JerabekElementarySANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
JessieBakerELKGROVEWATERSERVICE	5.0	5.0	5.0	5	0.0
JoanMacQueenMiddlePADREDAMMWD	5.0	5.0	5.0	5	0.0
JoanMacySchoolLAVERNECITYWD	5.0	5.0	5.0	1	0.0
JoaquinMillerElementaryBURBANKCITYWATERDEPT	5.0	5.0	5.0	5	0.0
JoaquinMillerElementaryEASTBAYMUD	5.0	5.0	5.0	5	0.0
JoaquinMoragaIntermediateEASTBAYMUD	5.0	5.0	5.0	5	0.0
JoeBacaWESTVALLEYWATERDISTRICT	5.0	5.0	5.0	5	0.0
JoeStefaniMEADOWBROOKWC	5.0	5.0	5.0	5	0.0
JohnAOtisElementarySWEETWATERAUTHORITY	5.0	5.0	5.0	5	0.0
JohnARowlandHighWALNUTVALLEYWATERDISTRICT	5.0	5.0	5.0	3	0.0
JohnAdamsMiddleSANTAMONICACITYWATERDIVISION	1.4	5.0	4.1	4	0.0
JohnBRiebliElementaryCALIFORNIAAMERICANLARKFIELDPUC	5.0	5.0	5.0	5	0.0
JohnBarrettMiddleCARMICHAELWATERDISTRICT	5.0	5.0	5.0	4	0.0
JohnBidwellElementaryCITYOFSACRAMENTOMAIN	5.0	5.0	5.0	5	0.0
JohnCabrilloElementaryCITYOFSACRAMENTOMAIN	5.0	5.0	5.0	5	0.0
JohnDSloatElementaryCITYOFSACRAMENTOMAIN	5.0	6.1	5.279999999999999	5	2.0
JohnEhrhardtElementarySCWALAGUNAVINEYARD	5.0	5.0	5.0	5	0.0
JohnFKennedyElementaryALAMEDACOUNTYWATERDISTRICT	5.0	5.0	5.0	5	0.0
JohnFKennedyElementaryCITYOFDALYCITY	5.0	6.0	5.166666666666667	6	1.0
JohnFKennedyHighCITYOFSACRAMENTOMAIN	5.0	5.0	5.0	5	0.0
JohnFKennedyHighEASTBAYMUD	5.0	5.0	5.0	5	0.0
JohnHStillElementaryCITYOFSACRAMENTOMAIN	5.0	5.0	5.0	2	0.0
JohnHStillMiddleCITYOFSACRAMENTOMAIN	5.0	5.0	5.0	5	0.0
JohnMorseTherapeuticCenterCITYOFSACRAMENTOMAIN	5.0	5.0	5.0	5	0.0
JohnMuirElementarySANTAMONICACITYWATERDIVISION	5.0	5.0	5.0	1	0.0
JohnMuirHighPASADENACITYWATERDEPT	5.0	5.0	5.0	1	0.0
JohnMuirMiddleBURBANKCITYWATERDEPT	5.0	5.0	5.0	5	0.0
JohnMuirMiddleSANJOSEWATERCOMPANY	5.0	5.0	5.0	5	0.0
JohnMuirSANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
JohnReithElementaryCITYOFSACRAMENTOMAIN	5.0	5.0	5.0	5	0.0
JohnsonElementaryHELIXWATERDISTRICT	5.0	5.0	5.0	5	0.0
JohnsonElementarySANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
JoliAnnLeichtagElementaryVISTAIRRIGATIONDISTRICT	5.0	5.0	5.0	5	0.0
JonasSalkElementarySANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
JonesElementarySANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
JoshuaTreeElementaryJOSHUABASINWATERDISTRICT	5.0	5.0	5.0	5	0.0
JoynerElementarySANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
JuanCabrilloElementaryLOSANGELESCOWWDISTRICT2980MALIB	5.0	5.0	5.0	5	0.0
JuarezElementarySANDIEGOCITYOF	5.0	5.02	5.004	5	1.0
JuarezLincolnElementaryCALAMWATERCORONADO	5.0	5.0	5.0	5	0.0
JuliancharterSchoolInnovationCentreLaMesaHELIXWATERDISTRICT	5.0	5.0	5.0	1	0.0
JunctionElementaryCITYOFROSEVILLE	5.0	5.0	5.0	5	0.0
JuniperElementaryESCONDIDOCITYOF	5.0	5.8	5.16	5	1.0
JurupaVistaElementarySANGABRIELVALLEYWCFONTANA	5.0	5.0	5.0	5	0.0
KIPPAdelantePreparatoryAcademySANDIEGOCITYOF	5.0	5.0	5.0	4	0.0
KIPPKingCollegiateHighEASTBAYMUD	5.0	5.0	5.0	5	0.0
KaiserElementaryEASTBAYMUD	5.0	5.0	5.0	5	0.0
KatherineElementaryVENTURAWWDNO8SIMIVALLEY	5.0	5.0	5.0	3	0.0
KatherineLAlbianiMiddleELKGROVEWATERSERVICE	5.0	5.0	5.0	5	0.0
KavodElementaryCharterSANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
KearnySCTSANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
KeillerLeadershipAcademySANDIEGOCITYOF	5.0	5.12	5.024	5	1.0
KelloggElementaryGOLETAWATERDISRICT	5.0	5.0	5.0	5	0.0
KelloggKarlHElementarySWEETWATERAUTHORITY	5.0	9.0	6.0	5	2.0
KellyElementaryCARLSBADMWD	5.0	5.0	5.0	5	0.0
KennedyMiddleELCENTROCITYOF	5.0	16.0	8.166666666666666	6	2.0
KensingtonElementaryEASTBAYMUD	5.0	5.0	5.0	5	0.0
KeplerNeighborhoodSchoolCITYOFFRESNO	5.0	5.0	5.0	5	0.0
KernHighROCCWSBAKERSFIELD	5.0	5.0	5.0	5	0.0
KeyFrancisScottElementarySFPUCCITYDISTRIBUTIONDIVISION	5.0	5.0	5.0	5	0.0
KillianElementaryWALNUTVALLEYWATERDISTRICT	5.0	5.0	5.0	3	0.0
KimballSWEETWATERAUTHORITY	5.0	8.0	5.6	5	1.0
KimbroughElementarySANDIEGOCITYOF	5.0	5.05	5.01	5	1.0
KingChavezPrimaryAcademySANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
KingMartinLutherHighContinuationCITYOFDAVIS	5.0	5.0	5.0	2	0.0
KingThomasStarrElementarySFPUCCITYDISTRIBUTIONDIVISION	5.0	5.0	5.0	5	0.0
KingswoodK8CITRUSHEIGHTSWATERDISTRICT	5.0	5.0	5.0	5	0.0
KitCarsonMiddleCITYOFSACRAMENTOMAIN	5.0	5.0	5.0	4	0.0
KnobHillElementaryVISTAIRRIGATIONDISTRICT	5.0	5.0	5.0	5	0.0
KnoxMiddleSANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
KohlerElementarySACRAMENTOSUBURBANWATERDISTRICT	5.0	5.0	5.0	5	0.0
KumeyaayElementarySANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
LRGreenElementaryESCONDIDOCITYOF	5.0	5.0	5.0	5	0.0
LaColimaElementaryORCHARDDALEWATERDISTRICT	5.0	5.0	5.0	5	0.0
LaCostaCanyonHighOLIVENHAINMWD	5.0	5.0	5.0	5	0.0
LaCostaMeadowsElementaryVALLECITOSWD	5.0	5.0	5.0	5	0.0
LaEscuelitaElementaryEASTBAYMUD	5.0	5.0	5.0	5	0.0
LaJollaElementarySANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
LaJollaHighSANDIEGOCITYOF	5.0	10.5	6.368	5	2.0
LaJoyaElementaryCWSCSALINAS	5.0	5.0	5.0	4	0.0
LaMesaArtsAcademyHELIXWATERDISTRICT	5.0	10.0	6.666666666666667	3	1.0
LaMesaDaleElementaryHELIXWATERDISTRICT	5.0	5.0	5.0	3	0.0
LaMesaElementaryCALAMWATERCOMPANYMONTEREY	5.0	5.0	5.0	2	0.0
LaMesaSpringValleyHomeIndependentStudyHELIXWATERDISTRICT	5.0	5.0	5.0	3	0.0
LaPateraElementaryGOLETAWATERDISRICT	5.0	5.0	5.0	5	0.0
LaPuenteHighLAPUENTEVALLEYCWD	5.0	170.0	38.0	5	1.0
LaSernaHighSUBURBANWATERSYSTEMSWHITTIER	5.0	9.9	5.9799999999999995	5	1.0
LaVistaCenterFAIROAKSWATERDISTRICT	5.0	13.0	6.720000000000001	5	2.0
LafayetteElementaryEASTBAYMUD	5.0	5.0	5.0	5	0.0
LafayetteElementaryHUMBOLDTCSD	2.0	5.0	4.4	5	0.0
LafayetteElementarySANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
LagunaCreekHighSCWALAGUNAVINEYARD	5.0	5.0	5.0	5	0.0
LagunitaElementaryCWSCSALINAS	5.0	6.1	5.220000000000001	5	1.0
LakeElementaryEASTBAYMUD	5.0	5.0	5.0	5	0.0
LakeElementaryOCEANSIDECITYOF	5.0	5.0	5.0	4	0.0
LakeMarieElementarySUBURBANWATERSYSTEMSWHITTIER	5.0	5.0	5.0	5	0.0
LakeshoreAlternativeElementarySFPUCCITYDISTRIBUTIONDIVISION	5.0	5.0	5.0	5	0.0
LakesideEarlyAdvantagePreschoolLAKESIDEWD	5.0	5.0	5.0	3	0.0
LakesideFarmsElementaryLAKESIDEWD	5.0	5.0	5.0	3	0.0
LakesideMiddleIRVINERANCHWATERDISTRICT	5.0	5.0	5.0	5	0.0
LakesideMiddleLAKESIDEWD	5.0	14.0	8.0	3	1.0
LakeviewElementaryHELIXWATERDISTRICT	5.0	5.0	5.0	5	0.0
LakewoodElementaryCITYOFSUNNYVALE	5.0	5.0	5.0	5	0.0
LandersElementaryBIGHORNDESERTVIEWWATERAGENCY	5.0	5.0	5.0	5	0.0
LaneviewElementarySANJOSEWATERCOMPANY	5.0	5.0	5.0	5	0.0
LanguageAcademySANDIEGOCITYOF	5.0	6.61	5.664	5	3.0
LasAnimasElementaryCITYOFGILROY	5.0	5.0	5.0	3	0.0
LasFloresHighAlternativeCITYOFSACRAMENTOMAIN	5.0	5.0	5.0	4	0.0
LasLomasHighEASTBAYMUD	5.0	5.0	5.0	5	0.0
LasPalmasSWEETWATERAUTHORITY	5.0	5.0	5.0	5	0.0
LauderbachJCalvinElementarySWEETWATERAUTHORITY	5.0	5.0	5.0	5	0.0
LaurelElementaryCITYOFBREA	5.0	5.0	5.0	5	0.0
LaurelElementaryOCEANSIDECITYOF	5.0	5.0	5.0	5	0.0
LaurelElementarySUBURBANWATERSYSTEMSWHITTIER	5.0	5.0	5.0	5	0.0
LaurelWoodElementaryCWSCSALINAS	5.0	5.0	5.0	5	0.0
LaurelglenElementaryBAKERSFIELDCITYOF	5.0	5.0	5.0	4	0.0
LeadershipPublicSchoolsRichmondEASTBAYMUD	5.0	5.0	5.0	5	0.0
LearningChoiceAcademyHELIXWATERDISTRICT	5.0	5.0	5.0	4	0.0
LeataataFloydElementaryCITYOFSACRAMENTOMAIN	5.0	5.0	5.0	5	0.0
LeffingwellElementarySUBURBANWATERSYSTEMSWHITTIER	5.0	5.0	5.0	5	0.0
LeighHighSANJOSEWATERCOMPANY	0.38	5.0	2.716	5	0.0
LelandHighSANJOSEWATERCOMPANY	5.0	5.0	5.0	5	0.0
LemonAvenueElementaryHELIXWATERDISTRICT	5.0	10.0	6.25	4	1.0
LemonCrestElementaryLAKESIDEWD	5.0	5.0	5.0	3	0.0
LemonGroveAcademyElementaryHELIXWATERDISTRICT	5.0	5.0	5.0	5	0.0
LemonGroveAcademyfortheSciencesandHumanitiesHELIXWATERDISTRICT	5.0	5.0	5.0	5	0.0
LemooreElementaryLEMOORECITYOF	5.0	9.7	6.34	5	3.0
LemooreHighLEMOORECITYOF	5.0	15.0	8.7	5	3.0
LemooreMiddleCollegeHighLEMOORECITYOF	13.0	13.0	13.0	1	1.0
LemooreUniversityElementaryCharterLEMOORECITYOF	5.0	7.3	5.46	5	1.0
LeoBHartElementaryBAKERSFIELDCITYOF	5.0	5.0	5.0	4	0.0
LeoGPaulyElementaryCWSBAKERSFIELD	5.0	5.0	5.0	3	0.0
LeonardoDaVinciCITYOFSACRAMENTOMAIN	5.0	5.0	5.0	5	0.0
